ts,ts_iso,topic,device_type,device_id,voltage,shunt_mV,current,power,soc_percent,soh_percent,uptime_ms,raw_payload
1772060742936,2026-02-26T05:05:42,battery/data,battery,esp32_bms,11.812,39.28,0.393,4.644,0.0,19.31,229745364,"{""uptime_ms"":229745364,""bus_V"":11.812,""shunt_mV"":39.280,""current_A"":0.393,""power_W"":4.644,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060747922,2026-02-26T05:05:47,battery/data,battery,esp32_bms,11.816,39.31,0.393,4.64,0.0,19.31,229750365,"{""uptime_ms"":229750365,""bus_V"":11.816,""shunt_mV"":39.310,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060752922,2026-02-26T05:05:52,battery/data,battery,esp32_bms,11.812,39.3,0.393,4.64,0.0,19.31,229755366,"{""uptime_ms"":229755366,""bus_V"":11.812,""shunt_mV"":39.300,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060757962,2026-02-26T05:05:57,battery/data,battery,esp32_bms,11.812,39.26,0.393,4.64,0.0,19.31,229760367,"{""uptime_ms"":229760367,""bus_V"":11.812,""shunt_mV"":39.260,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060762934,2026-02-26T05:06:02,battery/data,battery,esp32_bms,11.812,39.31,0.393,4.64,0.0,19.31,229765368,"{""uptime_ms"":229765368,""bus_V"":11.812,""shunt_mV"":39.310,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060767932,2026-02-26T05:06:07,battery/data,battery,esp32_bms,11.816,39.29,0.393,4.64,0.0,19.31,229770369,"{""uptime_ms"":229770369,""bus_V"":11.816,""shunt_mV"":39.290,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060772932,2026-02-26T05:06:12,battery/data,battery,esp32_bms,11.812,39.28,0.393,4.644,0.0,19.31,229775370,"{""uptime_ms"":229775370,""bus_V"":11.812,""shunt_mV"":39.280,""current_A"":0.393,""power_W"":4.644,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060777931,2026-02-26T05:06:17,battery/data,battery,esp32_bms,11.808,39.3,0.393,4.64,0.0,19.31,229780371,"{""uptime_ms"":229780371,""bus_V"":11.808,""shunt_mV"":39.300,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060782931,2026-02-26T05:06:22,battery/data,battery,esp32_bms,11.816,39.3,0.393,4.644,0.0,19.31,229785372,"{""uptime_ms"":229785372,""bus_V"":11.816,""shunt_mV"":39.300,""current_A"":0.393,""power_W"":4.644,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060787963,2026-02-26T05:06:27,battery/data,battery,esp32_bms,11.812,39.28,0.393,4.64,0.0,19.31,229790373,"{""uptime_ms"":229790373,""bus_V"":11.812,""shunt_mV"":39.280,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060792932,2026-02-26T05:06:32,battery/data,battery,esp32_bms,11.816,39.28,0.393,4.644,0.0,19.31,229795374,"{""uptime_ms"":229795374,""bus_V"":11.816,""shunt_mV"":39.280,""current_A"":0.393,""power_W"":4.644,""soc_percent"":0.00,""soh_percent"":19.31}"
1772060797950,2026-02-26T05:06:37,battery/data,battery,esp32_bms,11.812,39.3,0.393,4.64,0.0,19.31,229800375,"{""uptime_ms"":229800375,""bus_V"":11.812,""shunt_mV"":39.300,""current_A"":0.393,""power_W"":4.640,""soc_percent"":0.00,""soh_percent"":19.31}"
