ts,ts_iso,topic,device_type,device_id,voltage,shunt_mV,current,power,soc_percent,soh_percent,uptime_ms,raw_payload
1771483805022,2026-02-19T12:50:05,battery/data,battery,esp32_bms,6.332,-0.01,,,100.0,19.31,32221,"{""uptime_ms"":32221,""bus_V"":6.332,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483810041,2026-02-19T12:50:10,battery/data,battery,esp32_bms,6.336,-0.02,,,100.0,19.31,37222,"{""uptime_ms"":37222,""bus_V"":6.336,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483814968,2026-02-19T12:50:14,battery/data,battery,esp32_bms,6.332,-0.01,,,100.0,19.31,42223,"{""uptime_ms"":42223,""bus_V"":6.332,""shunt_mV"":-0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483814980,2026-02-19T12:50:14,battery/data,battery,esp32_bms,6.332,-0.01,,,100.0,19.31,42223,"{""uptime_ms"":42223,""bus_V"":6.332,""shunt_mV"":-0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483819971,2026-02-19T12:50:19,battery/data,battery,esp32_bms,6.336,-0.04,,0.004,100.0,19.31,47226,"{""uptime_ms"":47226,""bus_V"":6.336,""shunt_mV"":-0.040,""current_A"":0.000,""power_W"":0.004,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483820447,2026-02-19T12:50:20,battery/data,battery,esp32_bms,6.336,-0.04,,0.004,100.0,19.31,47226,"{""uptime_ms"":47226,""bus_V"":6.336,""shunt_mV"":-0.040,""current_A"":0.000,""power_W"":0.004,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483824970,2026-02-19T12:50:24,battery/data,battery,esp32_bms,6.332,-0.03,,,100.0,19.31,52227,"{""uptime_ms"":52227,""bus_V"":6.332,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483824975,2026-02-19T12:50:24,battery/data,battery,esp32_bms,6.332,-0.03,,,100.0,19.31,52227,"{""uptime_ms"":52227,""bus_V"":6.332,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483829958,2026-02-19T12:50:29,battery/data,battery,esp32_bms,6.332,-0.02,,,100.0,19.31,57228,"{""uptime_ms"":57228,""bus_V"":6.332,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771483829975,2026-02-19T12:50:29,battery/data,battery,esp32_bms,6.332,-0.02,,,100.0,19.31,57228,"{""uptime_ms"":57228,""bus_V"":6.332,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
