ts,ts_iso,topic,device_type,device_id,voltage,shunt_mV,current,power,soc_percent,soh_percent,uptime_ms,raw_payload
1771493899573,2026-02-19T15:38:19,battery/data,battery,esp32_bms,12.128,1.57,0.016,0.19,96.98,19.31,10126564,"{""uptime_ms"":10126564,""bus_V"":12.128,""shunt_mV"":1.570,""current_A"":0.016,""power_W"":0.190,""soc_percent"":96.98,""soh_percent"":19.31}"
1771493904604,2026-02-19T15:38:24,battery/data,battery,esp32_bms,12.124,0.0,,,96.98,19.31,10131565,"{""uptime_ms"":10131565,""bus_V"":12.124,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":96.98,""soh_percent"":19.31}"
1771493910039,2026-02-19T15:38:30,battery/data,battery,esp32_bms,12.12,0.02,,,96.98,19.31,10136566,"{""uptime_ms"":10136566,""bus_V"":12.120,""shunt_mV"":0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":96.98,""soh_percent"":19.31}"
1771493915075,2026-02-19T15:38:35,battery/data,battery,esp32_bms,12.12,0.0,,0.004,96.98,19.31,10141567,"{""uptime_ms"":10141567,""bus_V"":12.120,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.004,""soc_percent"":96.98,""soh_percent"":19.31}"
1771493919581,2026-02-19T15:38:39,battery/data,battery,esp32_bms,12.116,-0.01,,0.004,96.98,19.31,10146568,"{""uptime_ms"":10146568,""bus_V"":12.116,""shunt_mV"":-0.010,""current_A"":0.000,""power_W"":0.004,""soc_percent"":96.98,""soh_percent"":19.31}"
1771493924591,2026-02-19T15:38:44,battery/data,battery,esp32_bms,12.116,-0.02,,,96.98,19.31,10151569,"{""uptime_ms"":10151569,""bus_V"":12.116,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":96.98,""soh_percent"":19.31}"
1771493930007,2026-02-19T15:38:50,battery/data,battery,esp32_bms,11.988,-39.96,-0.4,4.79,97.0,19.31,10156570,"{""uptime_ms"":10156570,""bus_V"":11.988,""shunt_mV"":-39.960,""current_A"":-0.400,""power_W"":4.790,""soc_percent"":97.00,""soh_percent"":19.31}"
1771493934580,2026-02-19T15:38:54,battery/data,battery,esp32_bms,11.94,-39.8,-0.398,4.754,97.01,19.31,10161571,"{""uptime_ms"":10161571,""bus_V"":11.940,""shunt_mV"":-39.800,""current_A"":-0.398,""power_W"":4.754,""soc_percent"":97.01,""soh_percent"":19.31}"
1771493939600,2026-02-19T15:38:59,battery/data,battery,esp32_bms,11.896,-39.65,-0.396,4.716,97.02,19.31,10166572,"{""uptime_ms"":10166572,""bus_V"":11.896,""shunt_mV"":-39.650,""current_A"":-0.396,""power_W"":4.716,""soc_percent"":97.02,""soh_percent"":19.31}"
1771493945051,2026-02-19T15:39:05,battery/data,battery,esp32_bms,11.856,-39.55,-0.395,4.686,97.04,19.31,10171573,"{""uptime_ms"":10171573,""bus_V"":11.856,""shunt_mV"":-39.550,""current_A"":-0.395,""power_W"":4.686,""soc_percent"":97.04,""soh_percent"":19.31}"
1771493949586,2026-02-19T15:39:09,battery/data,battery,esp32_bms,11.808,-39.36,-0.394,4.65,97.05,19.31,10176574,"{""uptime_ms"":10176574,""bus_V"":11.808,""shunt_mV"":-39.360,""current_A"":-0.394,""power_W"":4.650,""soc_percent"":97.05,""soh_percent"":19.31}"
1771493954594,2026-02-19T15:39:14,battery/data,battery,esp32_bms,11.764,-39.27,-0.392,4.614,97.06,19.31,10181575,"{""uptime_ms"":10181575,""bus_V"":11.764,""shunt_mV"":-39.270,""current_A"":-0.392,""power_W"":4.614,""soc_percent"":97.06,""soh_percent"":19.31}"
1771493959587,2026-02-19T15:39:19,battery/data,battery,esp32_bms,11.724,-39.08,-0.391,4.584,97.08,19.31,10186576,"{""uptime_ms"":10186576,""bus_V"":11.724,""shunt_mV"":-39.080,""current_A"":-0.391,""power_W"":4.584,""soc_percent"":97.08,""soh_percent"":19.31}"
1771493965015,2026-02-19T15:39:25,battery/data,battery,esp32_bms,11.68,-39.01,-0.39,4.552,97.09,19.31,10191577,"{""uptime_ms"":10191577,""bus_V"":11.680,""shunt_mV"":-39.010,""current_A"":-0.390,""power_W"":4.552,""soc_percent"":97.09,""soh_percent"":19.31}"
1771493969596,2026-02-19T15:39:29,battery/data,battery,esp32_bms,11.64,-38.83,-0.388,4.518,97.1,19.31,10196578,"{""uptime_ms"":10196578,""bus_V"":11.640,""shunt_mV"":-38.830,""current_A"":-0.388,""power_W"":4.518,""soc_percent"":97.10,""soh_percent"":19.31}"
1771493974629,2026-02-19T15:39:34,battery/data,battery,esp32_bms,11.596,-38.53,-0.385,4.464,97.11,19.31,10201579,"{""uptime_ms"":10201579,""bus_V"":11.596,""shunt_mV"":-38.530,""current_A"":-0.385,""power_W"":4.464,""soc_percent"":97.11,""soh_percent"":19.31}"
1771493979627,2026-02-19T15:39:39,battery/data,battery,esp32_bms,11.552,-38.48,-0.385,4.444,97.13,19.31,10206580,"{""uptime_ms"":10206580,""bus_V"":11.552,""shunt_mV"":-38.480,""current_A"":-0.385,""power_W"":4.444,""soc_percent"":97.13,""soh_percent"":19.31}"
1771493984617,2026-02-19T15:39:44,battery/data,battery,esp32_bms,11.512,-38.33,-0.383,4.414,97.14,19.31,10211581,"{""uptime_ms"":10211581,""bus_V"":11.512,""shunt_mV"":-38.330,""current_A"":-0.383,""power_W"":4.414,""soc_percent"":97.14,""soh_percent"":19.31}"
1771493989616,2026-02-19T15:39:49,battery/data,battery,esp32_bms,11.468,-38.21,-0.382,4.384,97.15,19.31,10216582,"{""uptime_ms"":10216582,""bus_V"":11.468,""shunt_mV"":-38.210,""current_A"":-0.382,""power_W"":4.384,""soc_percent"":97.15,""soh_percent"":19.31}"
1771493995030,2026-02-19T15:39:55,battery/data,battery,esp32_bms,11.428,-38.08,-0.381,4.352,97.16,19.31,10221583,"{""uptime_ms"":10221583,""bus_V"":11.428,""shunt_mV"":-38.080,""current_A"":-0.381,""power_W"":4.352,""soc_percent"":97.16,""soh_percent"":19.31}"
1771493999599,2026-02-19T15:39:59,battery/data,battery,esp32_bms,11.388,-37.97,-0.38,4.322,97.18,19.31,10226584,"{""uptime_ms"":10226584,""bus_V"":11.388,""shunt_mV"":-37.970,""current_A"":-0.380,""power_W"":4.322,""soc_percent"":97.18,""soh_percent"":19.31}"
1771494004619,2026-02-19T15:40:04,battery/data,battery,esp32_bms,11.348,-37.83,-0.379,4.296,97.19,19.31,10231585,"{""uptime_ms"":10231585,""bus_V"":11.348,""shunt_mV"":-37.830,""current_A"":-0.379,""power_W"":4.296,""soc_percent"":97.19,""soh_percent"":19.31}"
1771494009634,2026-02-19T15:40:09,battery/data,battery,esp32_bms,11.304,-37.73,-0.377,4.264,97.2,19.31,10236586,"{""uptime_ms"":10236586,""bus_V"":11.304,""shunt_mV"":-37.730,""current_A"":-0.377,""power_W"":4.264,""soc_percent"":97.20,""soh_percent"":19.31}"
1771494014601,2026-02-19T15:40:14,battery/data,battery,esp32_bms,11.264,-37.6,-0.376,4.234,97.21,19.31,10241587,"{""uptime_ms"":10241587,""bus_V"":11.264,""shunt_mV"":-37.600,""current_A"":-0.376,""power_W"":4.234,""soc_percent"":97.21,""soh_percent"":19.31}"
1771494019601,2026-02-19T15:40:19,battery/data,battery,esp32_bms,11.224,-37.47,-0.375,4.204,97.23,19.31,10246588,"{""uptime_ms"":10246588,""bus_V"":11.224,""shunt_mV"":-37.470,""current_A"":-0.375,""power_W"":4.204,""soc_percent"":97.23,""soh_percent"":19.31}"
1771494024599,2026-02-19T15:40:24,battery/data,battery,esp32_bms,11.184,-37.34,-0.373,4.174,97.24,19.31,10251589,"{""uptime_ms"":10251589,""bus_V"":11.184,""shunt_mV"":-37.340,""current_A"":-0.373,""power_W"":4.174,""soc_percent"":97.24,""soh_percent"":19.31}"
1771494029612,2026-02-19T15:40:29,battery/data,battery,esp32_bms,11.144,-37.18,-0.372,4.142,97.25,19.31,10256590,"{""uptime_ms"":10256590,""bus_V"":11.144,""shunt_mV"":-37.180,""current_A"":-0.372,""power_W"":4.142,""soc_percent"":97.25,""soh_percent"":19.31}"
1771494034632,2026-02-19T15:40:34,battery/data,battery,esp32_bms,11.104,-37.13,-0.371,4.122,97.26,19.31,10261591,"{""uptime_ms"":10261591,""bus_V"":11.104,""shunt_mV"":-37.130,""current_A"":-0.371,""power_W"":4.122,""soc_percent"":97.26,""soh_percent"":19.31}"
1771494040054,2026-02-19T15:40:40,battery/data,battery,esp32_bms,11.064,-36.96,-0.37,4.092,97.28,19.31,10266592,"{""uptime_ms"":10266592,""bus_V"":11.064,""shunt_mV"":-36.960,""current_A"":-0.370,""power_W"":4.092,""soc_percent"":97.28,""soh_percent"":19.31}"
1771494045059,2026-02-19T15:40:45,battery/data,battery,esp32_bms,11.02,-36.86,-0.369,4.064,97.29,19.31,10271593,"{""uptime_ms"":10271593,""bus_V"":11.020,""shunt_mV"":-36.860,""current_A"":-0.369,""power_W"":4.064,""soc_percent"":97.29,""soh_percent"":19.31}"
1771494049618,2026-02-19T15:40:49,battery/data,battery,esp32_bms,10.984,-36.73,-0.367,4.034,97.3,19.31,10276594,"{""uptime_ms"":10276594,""bus_V"":10.984,""shunt_mV"":-36.730,""current_A"":-0.367,""power_W"":4.034,""soc_percent"":97.30,""soh_percent"":19.31}"
1771494054606,2026-02-19T15:40:54,battery/data,battery,esp32_bms,10.944,-36.61,-0.366,4.004,97.31,19.31,10281595,"{""uptime_ms"":10281595,""bus_V"":10.944,""shunt_mV"":-36.610,""current_A"":-0.366,""power_W"":4.004,""soc_percent"":97.31,""soh_percent"":19.31}"
1771494059611,2026-02-19T15:40:59,battery/data,battery,esp32_bms,10.908,-36.48,-0.365,3.974,97.32,19.31,10286596,"{""uptime_ms"":10286596,""bus_V"":10.908,""shunt_mV"":-36.480,""current_A"":-0.365,""power_W"":3.974,""soc_percent"":97.32,""soh_percent"":19.31}"
1771494064633,2026-02-19T15:41:04,battery/data,battery,esp32_bms,10.864,-36.33,-0.363,3.946,97.34,19.31,10291597,"{""uptime_ms"":10291597,""bus_V"":10.864,""shunt_mV"":-36.330,""current_A"":-0.363,""power_W"":3.946,""soc_percent"":97.34,""soh_percent"":19.31}"
1771494069608,2026-02-19T15:41:09,battery/data,battery,esp32_bms,10.828,-36.19,-0.362,3.92,97.35,19.31,10296598,"{""uptime_ms"":10296598,""bus_V"":10.828,""shunt_mV"":-36.190,""current_A"":-0.362,""power_W"":3.920,""soc_percent"":97.35,""soh_percent"":19.31}"
1771494074610,2026-02-19T15:41:14,battery/data,battery,esp32_bms,10.788,-36.07,-0.361,3.89,97.36,19.31,10301599,"{""uptime_ms"":10301599,""bus_V"":10.788,""shunt_mV"":-36.070,""current_A"":-0.361,""power_W"":3.890,""soc_percent"":97.36,""soh_percent"":19.31}"
1771494079613,2026-02-19T15:41:19,battery/data,battery,esp32_bms,10.748,-35.94,-0.359,3.86,97.37,19.31,10306600,"{""uptime_ms"":10306600,""bus_V"":10.748,""shunt_mV"":-35.940,""current_A"":-0.359,""power_W"":3.860,""soc_percent"":97.37,""soh_percent"":19.31}"
1771494084617,2026-02-19T15:41:24,battery/data,battery,esp32_bms,10.704,-35.82,-0.358,3.838,97.38,19.31,10311601,"{""uptime_ms"":10311601,""bus_V"":10.704,""shunt_mV"":-35.820,""current_A"":-0.358,""power_W"":3.838,""soc_percent"":97.38,""soh_percent"":19.31}"
1771494089615,2026-02-19T15:41:29,battery/data,battery,esp32_bms,10.672,-35.72,-0.357,3.808,97.4,19.31,10316602,"{""uptime_ms"":10316602,""bus_V"":10.672,""shunt_mV"":-35.720,""current_A"":-0.357,""power_W"":3.808,""soc_percent"":97.40,""soh_percent"":19.31}"
1771494094644,2026-02-19T15:41:34,battery/data,battery,esp32_bms,10.632,-35.57,-0.355,3.778,97.41,19.31,10321603,"{""uptime_ms"":10321603,""bus_V"":10.632,""shunt_mV"":-35.570,""current_A"":-0.355,""power_W"":3.778,""soc_percent"":97.41,""soh_percent"":19.31}"
1771494100059,2026-02-19T15:41:40,battery/data,battery,esp32_bms,10.592,-35.45,-0.354,3.756,97.42,19.31,10326604,"{""uptime_ms"":10326604,""bus_V"":10.592,""shunt_mV"":-35.450,""current_A"":-0.354,""power_W"":3.756,""soc_percent"":97.42,""soh_percent"":19.31}"
1771494104633,2026-02-19T15:41:44,battery/data,battery,esp32_bms,10.556,-35.31,-0.353,3.726,97.43,19.31,10331605,"{""uptime_ms"":10331605,""bus_V"":10.556,""shunt_mV"":-35.310,""current_A"":-0.353,""power_W"":3.726,""soc_percent"":97.43,""soh_percent"":19.31}"
1771494109627,2026-02-19T15:41:49,battery/data,battery,esp32_bms,10.516,-35.21,-0.352,3.7,97.44,19.31,10336606,"{""uptime_ms"":10336606,""bus_V"":10.516,""shunt_mV"":-35.210,""current_A"":-0.352,""power_W"":3.700,""soc_percent"":97.44,""soh_percent"":19.31}"
1771494115062,2026-02-19T15:41:55,battery/data,battery,esp32_bms,10.48,-35.09,-0.351,3.674,97.45,19.31,10341607,"{""uptime_ms"":10341607,""bus_V"":10.480,""shunt_mV"":-35.090,""current_A"":-0.351,""power_W"":3.674,""soc_percent"":97.45,""soh_percent"":19.31}"
1771494120126,2026-02-19T15:42:00,battery/data,battery,esp32_bms,10.444,-34.96,-0.349,3.648,97.47,19.31,10346608,"{""uptime_ms"":10346608,""bus_V"":10.444,""shunt_mV"":-34.960,""current_A"":-0.349,""power_W"":3.648,""soc_percent"":97.47,""soh_percent"":19.31}"
1771494124642,2026-02-19T15:42:04,battery/data,battery,esp32_bms,10.408,-34.82,-0.348,3.62,97.48,19.31,10351609,"{""uptime_ms"":10351609,""bus_V"":10.408,""shunt_mV"":-34.820,""current_A"":-0.348,""power_W"":3.620,""soc_percent"":97.48,""soh_percent"":19.31}"
1771494129621,2026-02-19T15:42:09,battery/data,battery,esp32_bms,10.368,-34.68,-0.347,3.598,97.49,19.31,10356610,"{""uptime_ms"":10356610,""bus_V"":10.368,""shunt_mV"":-34.680,""current_A"":-0.347,""power_W"":3.598,""soc_percent"":97.49,""soh_percent"":19.31}"
1771494134625,2026-02-19T15:42:14,battery/data,battery,esp32_bms,10.328,-34.58,-0.346,3.572,97.5,19.31,10361611,"{""uptime_ms"":10361611,""bus_V"":10.328,""shunt_mV"":-34.580,""current_A"":-0.346,""power_W"":3.572,""soc_percent"":97.50,""soh_percent"":19.31}"
1771494143126,2026-02-19T15:42:23,battery/data,battery,esp32_bms,10.296,-34.42,-0.344,3.546,97.51,19.31,10366612,"{""uptime_ms"":10366612,""bus_V"":10.296,""shunt_mV"":-34.420,""current_A"":-0.344,""power_W"":3.546,""soc_percent"":97.51,""soh_percent"":19.31}"
1771494144631,2026-02-19T15:42:24,battery/data,battery,esp32_bms,10.26,-34.3,-0.343,3.52,97.52,19.31,10371613,"{""uptime_ms"":10371613,""bus_V"":10.260,""shunt_mV"":-34.300,""current_A"":-0.343,""power_W"":3.520,""soc_percent"":97.52,""soh_percent"":19.31}"
1771494149634,2026-02-19T15:42:29,battery/data,battery,esp32_bms,10.22,-34.22,-0.342,3.496,97.53,19.31,10376614,"{""uptime_ms"":10376614,""bus_V"":10.220,""shunt_mV"":-34.220,""current_A"":-0.342,""power_W"":3.496,""soc_percent"":97.53,""soh_percent"":19.31}"
1771494155126,2026-02-19T15:42:35,battery/data,battery,esp32_bms,10.18,-34.1,-0.341,3.47,97.55,19.31,10381615,"{""uptime_ms"":10381615,""bus_V"":10.180,""shunt_mV"":-34.100,""current_A"":-0.341,""power_W"":3.470,""soc_percent"":97.55,""soh_percent"":19.31}"
1771494160094,2026-02-19T15:42:40,battery/data,battery,esp32_bms,10.148,-33.96,-0.34,3.448,97.56,19.31,10386616,"{""uptime_ms"":10386616,""bus_V"":10.148,""shunt_mV"":-33.960,""current_A"":-0.340,""power_W"":3.448,""soc_percent"":97.56,""soh_percent"":19.31}"
1771494164629,2026-02-19T15:42:44,battery/data,battery,esp32_bms,10.112,-33.84,-0.338,3.422,97.57,19.31,10391617,"{""uptime_ms"":10391617,""bus_V"":10.112,""shunt_mV"":-33.840,""current_A"":-0.338,""power_W"":3.422,""soc_percent"":97.57,""soh_percent"":19.31}"
