ts,ts_iso,topic,device_type,device_id,voltage,current_signed,current,power_signed,power,direction,ip,raw_payload
1771243252992,2026-02-16T18:00:52,battery/data,,,,,,,,,,"{""uptime_ms"":2483829,""bus_V"":0.876,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243257993,2026-02-16T18:00:57,battery/data,,,,,,,,,,"{""uptime_ms"":2488830,""bus_V"":0.868,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243262997,2026-02-16T18:01:02,battery/data,,,,,,,,,,"{""uptime_ms"":2493831,""bus_V"":0.860,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243267993,2026-02-16T18:01:07,battery/data,,,,,,,,,,"{""uptime_ms"":2498832,""bus_V"":0.880,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243272995,2026-02-16T18:01:12,battery/data,,,,,,,,,,"{""uptime_ms"":2503833,""bus_V"":0.860,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243278042,2026-02-16T18:01:18,battery/data,,,,,,,,,,"{""uptime_ms"":2508834,""bus_V"":0.888,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243283013,2026-02-16T18:01:23,battery/data,,,,,,,,,,"{""uptime_ms"":2513835,""bus_V"":0.868,""shunt_mV"":-0.030,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243287996,2026-02-16T18:01:27,battery/data,,,,,,,,,,"{""uptime_ms"":2518836,""bus_V"":0.876,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243293042,2026-02-16T18:01:33,battery/data,,,,,,,,,,"{""uptime_ms"":2523837,""bus_V"":0.872,""shunt_mV"":-0.040,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243297999,2026-02-16T18:01:37,battery/data,,,,,,,,,,"{""uptime_ms"":2528838,""bus_V"":0.860,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243303010,2026-02-16T18:01:43,battery/data,,,,,,,,,,"{""uptime_ms"":2533839,""bus_V"":0.892,""shunt_mV"":-0.020,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243308040,2026-02-16T18:01:48,battery/data,,,,,,,,,,"{""uptime_ms"":2538840,""bus_V"":0.868,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243313007,2026-02-16T18:01:53,battery/data,,,,,,,,,,"{""uptime_ms"":2543841,""bus_V"":0.872,""shunt_mV"":-0.040,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243318007,2026-02-16T18:01:58,battery/data,,,,,,,,,,"{""uptime_ms"":2548842,""bus_V"":0.876,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243323006,2026-02-16T18:02:03,battery/data,,,,,,,,,,"{""uptime_ms"":2553843,""bus_V"":0.860,""shunt_mV"":-0.040,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243328007,2026-02-16T18:02:08,battery/data,,,,,,,,,,"{""uptime_ms"":2558844,""bus_V"":0.888,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243333004,2026-02-16T18:02:13,battery/data,,,,,,,,,,"{""uptime_ms"":2563845,""bus_V"":0.868,""shunt_mV"":-0.010,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243338006,2026-02-16T18:02:18,battery/data,,,,,,,,,,"{""uptime_ms"":2568846,""bus_V"":0.880,""shunt_mV"":-0.050,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243343035,2026-02-16T18:02:23,battery/data,,,,,,,,,,"{""uptime_ms"":2573847,""bus_V"":0.864,""shunt_mV"":-0.070,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243348009,2026-02-16T18:02:28,battery/data,,,,,,,,,,"{""uptime_ms"":2578848,""bus_V"":0.884,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243353006,2026-02-16T18:02:33,battery/data,,,,,,,,,,"{""uptime_ms"":2583849,""bus_V"":0.868,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243358013,2026-02-16T18:02:38,battery/data,,,,,,,,,,"{""uptime_ms"":2588850,""bus_V"":0.880,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243363011,2026-02-16T18:02:43,battery/data,,,,,,,,,,"{""uptime_ms"":2593851,""bus_V"":0.868,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243368021,2026-02-16T18:02:48,battery/data,,,,,,,,,,"{""uptime_ms"":2598852,""bus_V"":0.876,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243373049,2026-02-16T18:02:53,battery/data,,,,,,,,,,"{""uptime_ms"":2603853,""bus_V"":0.868,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243378015,2026-02-16T18:02:58,battery/data,,,,,,,,,,"{""uptime_ms"":2608854,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243383015,2026-02-16T18:03:03,battery/data,,,,,,,,,,"{""uptime_ms"":2613855,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243388020,2026-02-16T18:03:08,battery/data,,,,,,,,,,"{""uptime_ms"":2618856,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243393020,2026-02-16T18:03:13,battery/data,,,,,,,,,,"{""uptime_ms"":2623857,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243398017,2026-02-16T18:03:18,battery/data,,,,,,,,,,"{""uptime_ms"":2628858,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
